TRY11   Erzgebirge, Böhmer- und Schwarzwald oberhalb 1000 m                (Klimaregion 11)
Station: Fichtelberg                     WMO-Nummer: 10578
Lage: 50°26'N <- B.  12°57'O <- L.  1213 Meter über NN
Zeitpunkt der Erstellung: November 2010

Art des TRY    : mittleres Jahr
Bezugszeitraum : 2021-2050
Stadteffekt    : -----
Höhenkorrektur : -----

Datenbasis 1: Beobachtungsdaten Zeitraum 1988-2007
Datenbasis 2: Klimasimulationen Zeitraum 1971-2000 (Basis SRES-20C / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)
Datenbasis 3: Klimasimulationen Zeitraum 2021-2050 (Basis SRES-A1B / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)

Format: (i2,2x,i4,2x,i2,2x,i2,2x,i2,2x,i1,2x,i3,2x,f6.1,2x,f6.1,2x,f7.1,2x,f6.1,2x,i3,2x,i2,2x,i4,2x,i4,1x,i1,2x,i4,2x,i5,2x,i1)

Reihenfolge der Parameter:
RG TRY-Region                                                           {1..15}
IS Standortinformation                                                  {1,2}
MM Monat                                                                {1..12}
DD Tag                                                                  {1..28,30,31}
HH Stunde (MEZ)                                                         {1..24}
N  Bedeckungsgrad                                              [Achtel] {0..8;9}
WR Windrichtung in 10 m Höhe über Grund                        [°]      {0;10..360;999}
WG Windgeschwindigkeit in 10 m Höhe über Grund                 [m/s]
t  Lufttemperatur in 2m Höhe über Grund                        [°C]
p  Luftdruck in Stationshöhe                                   [hPa]
x  Wasserdampfgehalt, Mischungsverhältnis                      [g/kg]
RF Relative Feuchte in 2 m Höhe über Grund                     [%]      {1..100}
W  Wetterereignis der aktuellen Stunde                                  {0..99}
B  Direkte Sonnenbestrahlungsstärke (horiz. Ebene)             [W/m²]   abwärts gerichtet: positiv
D  Difuse Sonnenbetrahlungsstärke (horiz. Ebene)               [W/m²]   abwärts gerichtet: positiv
IK Information, ob B und oder D Messwert/Rechenwert                     {1;2;3;4;9}
A  Bestrahlungsstärke d. atm. Wärmestrahlung (horiz. Ebene)    [W/m²]   abwärts gerichtet: positiv
E  Bestrahlungsstärke d. terr. Wärmestrahlung                  [W/m²]   aufwärts gerichtet: negativ
IL Qualitätsbit für die langwelligen Strahlungsgrößen                   {1;2;3;4;5;6;7;8;9}


RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
11     1   1   1   1  7  210    13.5     0.1    878.3     3.5   72  -1     0     0 1   278   -319  9
11     1   1   1   2  5  220    12.4     1.1    876.7     3.8   79  -1     0     0 1   267   -319  9
11     1   1   1   3  5  220    11.5     1.9    875.6     4.6   89  -1     0     0 1   248   -322  9
11     1   1   1   4  5  250    11.9     2.1    875.8     4.5   91  -1     0     0 1   247   -318  9
11     1   1   1   5  7  260    11.8     2.2    876.0     4.9   96  47     0     0 1   311   -325  9
11     1   1   1   6  9  250    13.0     2.3    876.2     5.1   99  45     0     0 1   311   -325  9
11     1   1   1   7  9  260    11.0     2.4    876.6     5.2  100  45     0     0 1   312   -326  9
11     1   1   1   8  9  250    11.0     2.1    876.6     5.0   99  45     0     0 1   310   -324  9
11     1   1   1   9  9  240    10.0     2.2    877.2     5.1  100  45     6    33 1   311   -325  9
11     1   1   1  10  9  230    11.0     2.4    877.4     5.1  100  44    83    67 1   312   -326  9
11     1   1   1  11  9  220    10.0     2.4    877.6     5.1  100  44    72   119 1   312   -326  9
11     1   1   1  12  9  220     9.0     2.3    877.5     5.1   99  45    86   156 1   311   -325  9
11     1   1   1  13  5  230     9.0     3.3    877.2     5.4   99  41   194    75 1   271   -327  9
11     1   1   1  14  5  220     7.0     3.7    876.9     5.4   95  28   189    69 1   259   -328  9
11     1   1   1  15  6  220     7.0     4.1    876.7     5.0   86  -1    56    75 1   271   -331  9
11     1   1   1  16  5  210     8.0     3.9    876.4     5.0   87   1    22    28 1   263   -329  9
11     1   1   1  17  5  200     7.0     2.4    876.3     4.8   93  -1     0     0 1   255   -322  9
11     1   1   1  18  4  180     8.0     2.6    875.9     4.9   94  -1     0     0 1   251   -323  9
11     1   1   1  19  4  170     9.0     2.4    875.1     4.9   95   3     0     0 1   255   -322  9
11     1   1   1  20  4  160     9.0     2.7    874.4     5.1   96  -1     0     0 1   250   -323  9
11     1   1   1  21  4  160    10.0     2.6    873.6     4.8   92  -1     0     0 1   250   -322  9
11     1   1   1  22  6  160     9.0     2.5    872.9     4.8   92  -1     0     0 1   252   -322  9
11     1   1   1  23  5  160     9.0     2.3    872.2     4.6   90  -1     0     0 1   249   -321  9
11     1   1   1  24  4  180     9.0     1.7    871.6     4.2   85  -1     0     0 1   244   -318  9
11     1   1   2   1  4  190    13.0     0.7    870.2     3.8   82  -1     0     0 1   239   -313  9
11     1   1   2   2  5  210    12.0     0.3    869.4     3.5   77  -1     0     0 1   240   -312  9
